Shape of Dreams (Demo) 03/25
Jentry 2024-11 2025-01
Miside 2025-01

2023-10 ongoing | 🌕🌕🌕🌕🌕🌖 | US | 📅 | 🏗️ | ftb interactions | creation | life, light, space | addictive, automation, builds character, complexity endurance, convoluted, hostile tuning, nostalgia, player's pace, tedious, unfun, utterly unmarketable | n/a | accessibility
2024-11 2024-12 | 🌕🌕🌕🌘🌑🌑 | JP | 🌙 | 🎮 | battle cats hacked | mastery | breath | n/a | n/a | gacha
2024-10 2024-11 | 🌕🌕🌕🌕🌕🌘 | US | 🕰️ | 📺 | breaking bad s1 | themes | doom | characterizations, cycles, masculinity | n/a | n/a
2024-10 2024-11 | 🌕🌕🌕🌑🌑🌑 | JP | ⌚ | 📺 | katanagatari | spectacle | breath | artstyle | brutality, relationships | fanservice
2024-11 2024-11 | 🌕🌕🌗🌑🌑🌑 | US | 📅 | 📚 | house of leaves | classic | mind | medium | n/a | gender, pretentious, themes
2016-11 2024-10 | 🌕🌕🌕🌕🌕🌑 | CA | 📅 | 🏗️ | dont starve together | creation | time, light | addictive, co-op, humour, nostalgia | tedious | accessibility, system mastery
2024-05 2024-10 | 🌕🌕🌕🌕🌖🌑 | US | 🕰️ | 🎮 | rabbit and steel | mastery | light, time | accessible, stressful | spectacle | n/a
2024-10 2024-10 | 🌕🌕🌕🌕🌑🌑 | US | ⌚ | 🖼️ | psycholonials | presentation | rage, heart, life | artstyle, characterizations, gender, music | cycles, imperialism, revolution, war | n/a
2022-05 2024-10 | 🌕🌕🌕🌕🌑🌑 | US | 🕰️ | 🔧 | modded slay the spire | mastery | light | hostile tuning, humour, system mastery | n/a | n/a
2024-09 2024-10 | 🌕🌕🌕🌕🌑🌑 | CN | 📅 | 📚 | the dark forest | worldbuilding | mind | lore | cynical, revolution | n/a
2024-10 2024-10 | 🌕🌕🌕🌕🌑🌑 | AU | 🕰️ | 🎮 | faith the unholy trinity | themes | hope | n/a | artstyle, unreliable narration | n/a
2024-10 2024-10 | 🌕🌕🌕🌖🌑🌑 | US | ⌚ | 🔧 | myhouse.wad | discovery | space | climaxes, convoluted, imagery, reflexive, relationships | n/a | n/a
2024-09 2024-10 | 🌕🌕🌕🌗🌑🌑 | JP | 📅 | 🖼️ | higurashi | themes | blood, void, hope | characterizations, compassion, family struggles, overarching themes, unreliable narration | stressful | fanservice, pedophilia
2024-10 2024-10 | 🌕🌕🌕🌗🌑🌑 | US | ⌛ | 🎮 | mouthwashing | presentation | hope | imagery, spectacle | unreliable narration | n/a
2024-10 2024-10 | 🌕🌕🌕🌘🌑🌑 | US | ⌛ | 🎥 | parkour civilization | memes | breath | n/a | n/a | n/a
2024-10 2024-10 | 🌕🌕🌖🌑🌑🌑 | US | ⌛ | 🎥 | transformers one | choreography | rage | climaxes, spectacle | n/a | characterizations, revolution
2024-01 2024-09 | 🌕🌕🌕🌕🌕🌖 | KR | 📅 | 🔧 | modded library of ruina | mastery | light, time | builds character, complexity endurance, convoluted, hostile tuning, stressful, system mastery, unapologetic, utterly unmarketable | spectacle | n/a
2018-10 2024-09 | 🌕🌕🌕🌕🌑🌑 | US | 📅 | 🔧 | modded terraria | mastery | time | spectacle, stressful | n/a | n/a
2024-08 2024-09 | 🌕🌕🌕🌖🌑🌑 | CN | 📅 | 📚 | the three body problem | worldbuilding | mind | lore | cynical, revolution | n/a
2017-03 2024-08 | 🌕🌕🌕🌕🌗🌑 | US | 🕰️ | 💛 | oneshot, pancake episode | immersion | hope | artstyle, music, nostalgia | n/a | n/a
2023-06 2024-08 | 🌕🌕🌕🌖🌑🌑 | US | 🕰️ | 🎮 | deep rock galactic | friends | time | co-op, deep tech, humour, spatial awareness | input dense | n/a
2024-05 2024-07 | 🌕🌕🌕🌕🌕🌖 | JP | 📅 | 🖼️ | umineko | themes | hope, void, heart | builds character, characterizations, compassion, deconstructive, family struggles, gender, overarching themes, reflexive, stressful, unreliable narration | incest | fanservice, relationships
2024-06 2024-07 | 🌕🌕🌕🌕🌑🌑 | JP | 🕰️ | 💛 | end roll | characterizations | hope, rage | artstyle, morality | n/a | n/a
2024-07 2024-07 | 🌕🌕🌕🌗🌑🌑 | JP | 🕰️ | 📺 | frieren | presentation | space | simple | lore, spectacle, war | antagonists
2024-07 2024-07 | 🌕🌕🌕🌗🌑🌑 | US | ⌚ | 🏗️ | shapez | building | light | automation | n/a | simple
2024-06 2024-06 | 🌕🌕🌕🌗🌑🌑 | JP | ⌛ | 🎥 | perfect blue | immersion | heart | identity struggles, unreliable narration | abuse, assault | n/a
2024-06 2024-06 | 🌕🌕🌕🌑🌑🌑 | US | ⌛ | 📺 | furiosa | choreography | time | climaxes, spectacle | brutality, simple | n/a
2010-05 2024-05 | 🌕🌕🌕🌕🌗🌑 | US | 📅 | 🎥 | planet earth, blue planet | discovery | life | cinematography, sustainability | n/a | n/a
2021-02 2024-04 | 🌕🌕🌕🌕🌕🌘 | JP | 📅 | 📺 | mushishi | mind | themes | simple, sustainability | n/a | n/a
2024-04 2024-04 | 🌕🌕🌕🌗🌑🌑 | CN | ⌚ | 🃏 | alina of the arena | mastery | light | mechanics, system mastery | n/a | derivative
2024-03 2024-03 | 🌕🌕🌕🌕🌑🌑 | AR | ⌚ | 🔫 | ultrakill | mastery | blood, mind | deep tech, derivative, hostile tuning, humour, mechanics, stressful, unapologetic | input dense, war bad robots cool | n/a
